320,347,323
292,320,323
292,323,322
291,292,322
291,322,321
290,291,321
290,321,293
263,290,293
262,263,293
262,293,264
232,262,264
232,264,233
201,232,233
201,233,202
169,201,202
169,202,170
136,169,170
136,170,137
102,136,137
102,137,104
70,102,104
69,70,104
69,104,103
68,69,103
68,103,71
62,68,71
62,71,95
94,62,95
94,95,128
127,94,128
127,128,160
126,127,160
158,126,160
158,160,191
159,158,191
159,191,192
113,81,80
79,113,80
47,79,80
47,80,48
47,48,19
18,47,19
18,19,3
17,18,3
17,3,11
10,17,11
10,11,41
40,10,41
40,41,72
39,40,72
66,39,72
66,72,98
99,66,98
99,98,132
133,99,132
166,133,132
166,132,164
196,166,164
196,164,175
197,196,175
197,175,208
205,197,208
237,205,208
237,208,240
268,237,240
268,240,270
296,268,270
300,296,270
300,270,271
301,300,271
301,271,273
302,301,273
302,273,272
274,302,272
275,274,272
275,272,246
277,275,246
277,246,245
276,277,245
276,245,244
247,276,244
217,247,244
217,244,213
184,217,213
184,213,180
152,184,180
146,152,180
146,180,147
113,146,147
113,147,114
113,114,81
157,125,159
157,159,190
189,157,190
189,190,223
222,189,223
222,223,254
221,222,254
221,254,253
220,221,253
220,253,252
251,220,252
251,252,283
282,251,283
282,283,314
313,282,314
313,314,341
312,313,341
312,341,340
339,312,340
339,340,363
362,339,363
362,363,380
361,362,380
361,380,379
360,361,379
360,379,378
359,360,378
359,378,377
358,359,377
358,377,376
357,358,376
357,376,375
356,357,375
355,356,375
355,375,372
351,355,372
351,372,353
328,351,353
328,353,352
327,328,352
327,352,346
319,327,346
319,346,320
289,319,320
289,320,292
261,289,292
261,292,291
260,261,291
260,291,290
259,260,290
259,290,263
231,259,263
231,263,262
230,231,262
230,262,232
200,230,232
200,232,201
168,200,201
168,201,169
135,168,169
135,169,136
101,135,136
101,136,102
67,101,102
67,102,70
38,67,70
38,70,69
37,38,69
37,69,68
36,37,68
36,68,62
61,36,62
61,62,94
93,61,94
93,94,127
92,93,127
91,92,127
91,127,126
124,91,126
124,126,158
125,124,158
125,158,159
297,319,289
327,319,297
297,268,296
327,297,298
297,296,298
328,327,298
328,298,326
351,328,326
296,300,326
298,296,326
267,297,289
267,289,261
267,237,268
267,268,297
355,351,330
330,300,301
326,300,330
351,326,330
330,301,331
330,331,355
356,355,331
331,301,302
332,331,302
332,302,304
302,274,304
332,357,356
332,356,331
333,358,357
332,333,357
333,332,304
275,306,303
304,274,303
274,275,303
333,304,303
306,333,303
334,333,306
334,359,358
358,333,334
359,334,335
359,335,360
335,334,306
275,277,305
277,308,305
306,275,305
305,308,335
306,305,335
336,335,308
336,361,360
336,360,335
205,237,236
236,261,260
236,237,267
236,267,261
229,205,236
260,229,236
229,260,259
197,205,229
228,197,229
259,228,229
228,259,231
196,197,228
231,230,199
231,199,228
196,228,199
230,200,198
199,230,198
199,198,167
198,166,167
167,166,196
167,196,199
198,200,168
165,198,168
165,168,134
168,135,134
165,133,166
198,165,166
131,133,165
131,165,134
100,131,134
100,134,135
100,135,101
96,100,101
96,101,67
64,96,67
64,67,38
33,64,38
33,38,37
8,33,37
8,37,36
32,8,36
32,36,61
60,32,61
60,61,93
59,60,93
59,93,92
58,59,92
58,92,91
89,58,91
89,91,124
90,89,124
90,124,125
123,90,125
123,125,157
156,123,157
156,157,189
188,156,189
188,189,222
187,188,222
187,222,221
219,187,221
219,221,220
250,219,220
250,220,251
281,250,251
281,251,282
281,282,313
280,281,313
280,313,312
311,280,312
311,312,339
338,311,339
338,339,362
337,338,362
337,362,361
337,361,336
337,336,308
307,337,308
307,308,277
307,277,276
278,307,276
278,276,247
279,278,247
249,279,247
249,247,217
216,249,217
216,217,184
185,216,184
185,184,152
153,185,152
120,153,152
120,152,146
112,120,146
111,112,146
111,146,113
111,113,79
77,111,79
77,79,47
46,77,47
46,47,18
46,18,17
27,46,17
27,17,10
26,27,10
9,26,10
9,10,40
35,9,40
35,40,39
65,35,39
65,39,66
97,65,66
97,66,99
131,97,99
131,99,133
131,100,96
338,337,310
337,307,310
310,307,278
97,131,96
97,96,64
280,311,279
280,279,249
281,280,249
281,249,248
249,216,248
250,281,248
278,279,309
279,311,309
310,278,309
309,311,338
310,309,338
248,216,218
248,218,250
219,250,218
218,216,185
218,185,186
218,186,219
187,219,186
186,185,153
155,186,153
155,188,187
155,187,186
63,64,33
63,65,97
63,97,64
34,33,8
35,65,34
63,33,34
65,63,34
35,34,7
9,35,7
8,32,7
34,8,7
9,7,31
32,60,31
7,32,31
31,30,28
26,9,28
9,31,28
30,31,60
30,60,59
28,30,29
29,30,59
29,59,58
57,29,58
57,58,89
88,57,89
88,89,90
122,88,90
122,90,123
154,122,123
154,123,156
154,156,188
154,188,155
154,155,153
121,154,153
121,153,120
86,121,120
86,120,112
78,86,112
78,112,111
78,111,77
78,77,46
55,78,46
55,46,27
56,55,27
56,27,26
56,26,28
57,56,28
57,28,29
86,78,55
122,154,121
121,86,87
87,56,57
87,57,88
87,88,122
87,122,121
87,86,55
